prefecture,fertilityRate
Hokkaido,1.12
Aomori,1.24
Iwate,1.21
Miyagi,1.09
Akita,1.18
Yamagata,1.32
Fukushima,1.27
Ibaraki,1.27
Tochigi,1.24
Gunma,1.32
Saitama,1.17
Chiba,1.18
Tokyo,1.04
Kanagawa,1.17
Niigata,1.27
Toyama,1.46
Ishikawa,1.38
Fukui,1.5
Yamanashi,1.4
Nagano,1.43
Gifu,1.36
Shizuoka,1.33
Aichi,1.35
Mie,1.4
Shiga,1.43
Kyoto,1.18
Osaka,1.22
Hyogo,1.31
Nara,1.25
Wakayama,1.39
Tottori,1.6
Shimane,1.57
Okayama,1.39
Hiroshima,1.4
Yamaguchi,1.47
Tokushima,1.42
Kagawa,1.45
Ehime,1.39
Kochi,1.36
Fukuoka,1.33
Saga,1.53
Nagasaki,1.57
Kumamoto,1.52
Oita,1.49
Miyazaki,1.63
Kagoshima,1.54
Okinawa,1.7
